Instructions,Responses
O que acontece se o aluno não cumprir as condições da inclusão informal?,"Caso o aluno não cumpra as condições estabelecidas, o professor pode decidir pela suspensão da inclusão informal."
O que é o Programa Interinstitucional e Intercampi de Mobilidade Estudantil (PRIIMES)?,"O PRIIMES é um programa da Universidade Federal do Amazonas que visa operacionalizar a mobilidade de estudantes de graduação da UFAM e de outras Instituições de Ensino Superior públicas, exceto IFES, entre os campi da UFAM e entre a UFAM e outras IES."
Quem pode participar do PRIIMES?,"Podem participar do PRIIMES alunos vinculados a Instituições de Ensino Superior públicas que possuam convênio com a UFAM. As categorias de alunos são: Aluno Visitante Interinstitucional (AVI), Aluno UFAM Interinstitucional (AUFI), e Aluno de Mobilidade Interna (AMI)."
Quais são os requisitos para o Aluno Visitante Interinstitucional (AVI) se candidatar ao PRIIMES?,"O AVI deve ter integralizado todas as disciplinas do primeiro ano letivo do seu curso de origem, não ter mais de uma reprovação por período letivo, ter coeficiente de rendimento acadêmico igual ou superior a 5, estar regularmente matriculado no semestre de solicitação e ser maior de dezoito anos ou ter anuência do responsável legal."
Quais benefícios o PRIIMES oferece aos alunos de mobilidade interna?,"O PRIIMES oferece a oportunidade de vivenciar novas metodologias de ensino-aprendizado, realizar estágios como componente curricular obrigatório em outro município com campus da UFAM e diminuir o índice de evasão, podendo incluir a concessão de bolsas para alunos de cursos fora da sede."
Qual é a duração máxima da participação de um aluno no PRIIMES?,"A duração máxima da participação de um Aluno Visitante Interinstitucional (AVI) ou do Aluno UFAM na IES ou Unidade Acadêmica receptora é de dois semestres letivos consecutivos, podendo ser prorrogada por mais um semestre com autorização expressa das IES."
O que é necessário para um aluno solicitar a mobilidade interna?,"O aluno deve protocolar um requerimento no DPA/PROEG, acompanhado de documentos como ementas e conteúdos programáticos das disciplinas, histórico escolar e comprovante de matrícula do semestre correspondente a solicitação."
Quais são os critérios de seleção para o aluno de mobilidade interna (AMI)?,"Para o AMI, é necessário ter integralizado todas as disciplinas do primeiro e segundo período do seu curso, não ter reprovações, apresentar coeficiente de rendimento acadêmico igual ou superior a 7, estar matriculado no semestre da solicitação, e não ter recebido recursos financeiros da UFAM em mobilidade anterior."
Como o DPA/PROEG e o DRA/PROEG colaboram na mobilidade estudantil?,"O DPA/PROEG coordena o programa de mobilidade, recebe a documentação dos alunos e processa a matrícula, enquanto o DRA/PROEG examina a documentação, autoriza a matrícula e registra as notas das disciplinas cursadas durante a participação no PRIIMES."
O que é exigido do aluno que deseja realizar a mobilidade entre os campi da UFAM?,"O aluno deve apresentar um plano de mobilidade que inclua as disciplinas e períodos que pretende cursar, além de solicitar a análise prévia das matrizes curriculares e ementas, e obter a aprovação do coordenador do curso."
O que acontece se o número de inscritos ultrapassar o número de vagas ofertadas?,"Se o número de inscritos ultrapassar o número de vagas, serão selecionados os candidatos com melhor rendimento acadêmico."
Quais despesas a UFAM não se responsabiliza durante a mobilidade?,"A UFAM não se responsabiliza por despesas com alimentação, hospedagem, deslocamento e saúde dos alunos que optarem pela mobilidade interna sem bolsa."
Os alunos do PRIIMES têm acesso a quais serviços na UFAM?,"Os alunos participantes do PRIIMES têm acesso à biblioteca, ao restaurante universitário e às atividades culturais e de lazer do campus."
Quais documentos são necessários para o ingresso no PRIIMES como Aluno Visitante Interinstitucional (AVI)?,"Os documentos necessários incluem uma carta de apresentação da IES de origem, um plano de mobilidade aprovado, histórico escolar, e cópias autenticadas do RG e CPF."
Qual é a definição de Aluno de Mobilidade Interna (AMI)?,O Aluno de Mobilidade Interna (AMI) é aquele que está matriculado na UFAM e pretende realizar mobilidade entre os campi da UFAM.
Qual é o papel da coordenação do curso no processo de mobilidade?,"A coordenação do curso deve esclarecer aos alunos sobre o funcionamento do PRIIMES, analisar a disponibilidade de vagas nas disciplinas e fornecer as informações necessárias à IES de origem."
O que o aluno deve fazer após ter seu plano de mobilidade aprovado?,"Após a aprovação do plano de mobilidade, o aluno deve encaminhar o plano de trabalho e os documentos exigidos ao DPA para que seja processada sua matrícula e acompanhamento da mobilidade."
É permitido ao AVI realizar estágio curricular obrigatório na instituição receptora?,"Não, é vedado ao AVI e ao Aluno UFAM Interinstitucional realizar o estágio curricular obrigatório do curso de origem na instituição receptora."
Quais são as consequências para o aluno que não atender aos critérios do PRIIMES?,A solicitação de mobilidade será indeferida se não atender aos critérios dispostos na resolução que regulamenta o PRIIMES.
Como a UFAM garante a segurança dos alunos participantes do PRIIMES?,A UFAM firmará um contrato de seguro para acidentes pessoais em favor do Aluno Visitante Institucional (AVI) e do Aluno de Mobilidade Interna (AMI).
O que é a declaração de 'Nada Consta' na Universidade Federal do Amazonas?,A declaração de 'Nada Consta' é um documento que comprova que o aluno ou servidor não possui débitos pendentes com as Bibliotecas Setoriais da Universidade Federal do Amazonas.
Quando a declaração de 'Nada Consta' é obrigatória para os alunos?,"A declaração é obrigatória para os alunos quando eles requerem: Colação de Grau, Transferência, Trancamento de Matrícula ou Transferência de Curso."
Quais são os casos em que o corpo docente e técnico-administrativo precisa da declaração de 'Nada Consta'?,"O corpo docente e técnico-administrativo precisa da declaração ao requerer: Exoneração, Aposentadoria, Licença para trato de interesses particulares, Licença para acompanhar o cônjuge, Transferência, Redistribuição, ou Afastamento para estudo superior a seis meses."
Qual é o prazo de validade da declaração de 'Nada Consta'?,A declaração de 'Nada Consta' tem um prazo de validade de 30 dias corridos a partir da data de sua emissão.
Quem é o órgão competente para emitir a declaração de 'Nada Consta'?,A Biblioteca Central é o órgão competente para a emissão do documento 'Nada Consta'.
O que acontece se um aluno tiver débitos com as Bibliotecas Setoriais?,"Se um aluno tiver débitos com as Bibliotecas Setoriais, sua matrícula poderá ser bloqueada, conforme a responsabilidade do CPD, que deve receber a listagem dos devedores."
Quem é responsável pelo controle de documentos relacionados a alunos?,Compete à Pró-Reitoria de Ensino de Graduação o controle do disposto no parágrafo 1° da Portaria.
